,corp_code,corp_name,stock_code,year,TQ,ROA,SGR,LEV,A_SIZE,MSE,FOR,W_YEAR,Fe_R,Re_R,SA,Pay_Gap,SGAE_R,IND,DIV,DIV_enco,DIR_FE,DIR_FE_enco,DIR_OUT,ESG,E,S,G
0,365387,AJ네트웍스,95570,2019,93.64292154443532,2.3362524478455096,1504.195815480326,80.73810348005077,28.22061460641888,50.05,7.95,3.470998,35.028248587570275,96.61016949152544,17.85346052224175,45.8316112954556,,산업용 기계 및 장비 임대업,2.01,1,0.0,0,35.714286,B,D,B,B
1,125080,AK홀딩스,6840,2019,77.55126537832936,1.3257463605977502,130.30604640108652,66.9604759953281,29.096118467763823,64.89,12.75,2.3,20.0,95.0,17.9914351071788,27.83318223028105,21.13084329825574,기타 금융업,2.17,1,0.0,0,50.0,B+,C,B+,B+
2,219097,BGF,27410,2019,40.13202640057724,1.0568050841101555,893.9778775895386,7.791008810106891,28.136260039253177,69.98,9.0,6.938053,26.548672566371767,94.69026548672566,18.105606252518783,44.29584304584272,38.61808976306977,기타 금융업,0.63,1,0.0,0,25.0,B+,B,A,B+
3,1263022,BGF리테일,282330,2019,206.19659039812487,6.968159364763195,294.6848220511729,71.34079182905693,28.40685868045136,55.42,34.12,1.9,26.5808405906859,76.10753502461189,17.575732764631166,37.567804519045154,12.551897523164577,종합 소매업,1.58,1,0.0,0,57.142857,A,B+,B+,A
4,858364,BNK금융지주,138930,2019,,,,,,9.19,51.7,2.273438,9.375000000000028,82.29166666666666,18.73883139884491,51.61666799289137,,기타 금융업,3.92,1,0.0,0,41.176471,A+,B+,A+,A+
5,122579,BYC,1460,2019,58.69533236462917,4.004847449626627,-1378.474220104918,37.4062275983155,27.2655689832856,67.84,2.18,8.760725,52.87009063444159,92.1450151057402,17.31136666677985,36.11152207459503,14.18268307297414,봉제의복 제조업,0.42,1,10.0,1,50.0,B,D,B,B+
6,148540,CJ,1040,2019,70.78705227746339,0.8019610537285738,1441.6585059404129,63.80735251940079,31.329389522026293,43.25,17.94,10.453846,30.76923076923073,96.92307692307692,19.734363054889247,64.79935909699634,22.534158598502444,기타 금융업,1.5,1,0.0,0,50.0,A,B,A,A
7,303873,CJ CGV,79160,2019,102.87383111984624,-5.284546224377695,977.320652059322,86.71300463113238,29.140428033364177,39.04,9.17,7.891879,54.47085455574411,71.56196943972836,16.071645700510977,28.60756237441907,30.66267894443751,"영화, 비디오물, 방송프로그램 제작 및 배급업",0.58,1,14.285714,1,28.571429,A,B,A,A
8,113410,CJ대한통운,120,2019,98.6901016333904,0.5586143272917304,1296.6047486398736,59.87663218131907,29.84039559560401,40.16,19.64,9.34363,14.721610569362037,96.31959735765965,17.83317368764408,25.83455643375449,2.996450486942752,도로 화물 운송업,0.0,0,3.174603,1,7.936508,A,A,B,A
9,129013,CJ씨푸드,11150,2019,125.50645515481705,1.435447005225948,-101.79849859166224,49.46571124713079,25.57015904156217,46.26,3.61,6.859091,46.96969696969744,91.55844155844156,17.41305999614055,25.946745374739503,5.9848126688789725,기타 식품 제조업,0.0,0,0.0,0,40.0,B,C,B+,B+
10,635134,CJ제일제당,97950,2019,78.38599018800299,0.7268786399377913,1972.356976447635,63.92217548890439,30.899853371317874,41.82,20.06,7.832633,25.95202601978603,98.76677056511724,17.827352529924536,13.077097984207986,13.325788732156957,기타 식품 제조업,1.39,1,0.0,0,57.142857,A,A,A+,A
11,149026,CS홀딩스,590,2019,30.44180093943908,5.2829590681647085,1013.5093855409624,8.95308926856528,26.47358677700958,73.37,2.4,5.04,0.0,100.0,17.96891773839638,,11.716632236106904,기타 금융업,0.85,1,0.0,0,60.0,C,D,C,B
12,163345,DB,12030,2019,90.6492120255872,1.2128285926017035,58.74664775263637,41.90100945082151,26.618104197099893,43.78,2.45,9.061255,22.07792207792208,85.71428571428571,17.976824369773396,20.473110210435923,5.415619726965136,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",0.0,0,5.555556,1,16.666667,B,D,B,B
13,159102,DB손해보험,5830,2019,,,,,,23.23,45.8,10.343808,56.69393026259137,97.43865690916915,18.085591360477647,54.00875060040207,,보험업,3.82,1,0.0,0,5.084746,B+,A,A,B+
14,115694,DB증권,16610,2019,,,,,,39.59,8.42,8.700249,31.17206982543664,89.15211970074813,18.49446180125737,54.19916093304261,,금융 지원 서비스업,5.9,1,0.0,0,9.677419,B,D,A,B
15,160843,DB하이텍,990,2019,153.33416604052923,9.609513416258787,2063.9712030195506,40.79743201757219,27.716179769792884,19.77,39.9,9.530217,46.79130890414152,99.0399191510864,4.188766241365983,44.76283049199687,13.974383516157312,반도체 제조업,0.91,1,0.0,0,7.692308,B+,B+,A,B+
16,108746,DKME,15590,2019,121.82967579883052,1.4659341038028253,7742.807781368303,54.94451145741874,26.10325600435004,43.51,0.65,10.956,7.999999999999647,84.39999999999999,17.612436916161343,35.92343409457002,3.5902891792730123,일반 목적용 기계 제조업,0.0,0,0.0,0,33.333333,C,B,C,C
17,109693,DL,210,2019,73.3191000608184,5.282973733880164,-1169.291383763201,49.895169315158746,30.22964507920112,23.12,48.6,12.640459,12.766278894092585,63.69542226922496,18.21577706686642,45.78202524274608,3.334669493398639,기초 화학물질 제조업,1.88,1,1.960784,1,5.882353,B+,A,B+,B+
18,116949,DN오토모티브,7340,2019,63.50112364189886,7.49003721848701,233.91374048350747,31.32944614862197,27.53862749789276,50.27,6.34,6.621973,3.1390134529149383,100.0,17.72869324944094,3.823885456335251,5.635835197090304,일차전지 및 이차전지 제조업,3.41,1,0.0,0,11.111111,B,B,C,B
