corp_code,corp_name,stock_code,year,TQ,ROA,ADV,SGR,LEV,R&D,A_SIZE,MSE,FOR,ESG,E,S,G
365387,AJ네트웍스,2022,28.024039,9557000,0.5919579990769644,0.1438221309909283,23.05824745111717,93.65063897164134,0.0,0.7557211022477776,53.59,7.95,B+,C,A,B+
125080,AK홀딩스,2022,29.241326,684000,-2.378907845326126,2.0185211015980515,19.58077694757967,78.92866607575634,0.6046506529825518,0.7437545269260326,65.17,12.75,A,A,A+,B+
219097,BGF,2022,28.292685,2741000,1.350706517342758,0.9790862217600532,189.63574501079404,31.65876747953067,0.00045977282073728727,0.1039675433403182,69.7,9.0,A,A,A+,B+
1263022,BGF리테일,2022,28.711549,28233000,6.569022674118882,0.062278670856444326,12.307747550002517,190.81537360552815,0.05113074938119213,0.6732685766660669,55.01,34.12,A,A,A+,A
858364,BNK금융지주,2022,0.0,13893000,0.628,0.0,0.0,0.0,0.0,0.0,11.14,51.7,A,A,A+,A
122579,BYC,2022,27.228859,146000,5.275523664349681,0.060975719938532534,3.183079224049399,57.0727755013241,0.0,0.2289447517232439,62.75,2.18,D,D,D,D
148540,CJ,2022,31.507218,104000,1.4237974223371865,2.1542335662074272,18.677787551618994,68.32562473567872,0.1920591592106667,0.6323904769805455,52.17,17.94,A,A,A+,B+
303873,CJ CGV,2022,28.912363,7916000,-5.9561128011782625,0.0,74.01593146138893,111.54501505316449,0.0,0.8908530358978594,40.02,9.17,A,A,A+,B+
113410,CJ대한통운,2022,29.902456,12000,2.030493104661333,0.09830231854705944,6.938339519111893,80.43192987502474,0.0,0.5838044407683951,40.17,19.64,A,A,A+,B+
129013,CJ씨푸드,2022,25.688967,1115000,5.173912520539776,0.0,-5.822935626265539,119.2537960926258,0.0,0.4722142018194299,46.26,3.61,B+,B+,A,B
635134,CJ제일제당,2022,31.03266,9795000,2.6743998137399476,0.8115385811533529,14.417636712622727,80.67218163916408,0.21220802259407692,0.6158687988275197,41.81,20.06,A,A,A+,A
149026,CS홀딩스,2022,26.620754,59000,5.159951828037646,0.00543479193462038,10.21802645331862,27.51597061305641,0.06362070932403087,0.092533439148802,73.35,2.4,C,D,D,B
163345,DB,2022,26.749898,1203000,1.3789061024180547,3.262091870870374,22.767687988798833,70.20621631049109,0.0,0.31216139104849,43.81,2.45,C,D,B,C
159102,DB손해보험,2022,0.0,583000,3.333,0.0,0.0,0.0,0.0,0.0,23.21,45.8,B+,B+,A,B+
115694,DB증권,2022,0.0,1661000,-0.001,0.0,0.0,0.0,0.0,0.0,33.72,8.42,B,C,B,B+
160843,DB하이텍,2022,28.38371,99000,26.326684751297623,0.0,37.91984060458346,100.52402427657657,4.606612205316277,0.2282076073209602,17.38,39.9,B+,A,A,B
108746,DKME,2022,25.984334,1559000,5.853009493498956,0.0,30.938120652989355,84.16015797338726,0.0,0.4300248468353688,43.85,0.65,D,D,D,D
109693,DL,2022,30.117509,21000,0.8473797077991057,0.028019592090483433,119.39145831872541,71.90133658005338,1.2843794537145325,0.615794382233005,43.35,48.6,A,A,A,A
116949,DN오토모티브,2022,29.155248,734000,4.026905343223157,0.36877200864334353,239.120812701083,89.30887211391101,1.6480754293974407,0.753569379121009,50.89,6.34,C,C,B,D
118266,DRB동일,2022,27.574703,484000,0.3741717328194243,0.05916254268597942,20.03797612267131,57.846164039409075,1.243321808716326,0.492436366927632,69.75,1.92,B+,B,A,B+
110608,DSR,2022,26.622369,15566000,6.730757663419235,0.0,34.88730775132486,68.78439701990787,0.0,0.4452405149992155,68.33,1.3,D,C,C,D
