corp_code,corp_name,stock_code,year,TQ,ROA,ADV,SGR,LEV,R&D,A_SIZE,MSE,FOR,ESG,E,S,G
365387,AJ네트웍스,95570,2022,93.65063897164134,0.5919579990769644,14.38221309909283,2305.8247451117168,75.57211022477776,,28.024039,53.59,7.95,B+,C,A,B+
125080,AK홀딩스,6840,2022,78.92866607575634,-2.378907845326126,201.85211015980516,1958.0776947579668,74.37545269260326,40.03738312759586,29.241326,65.17,12.75,A,A,A+,B+
219097,BGF,27410,2022,31.65876747953067,1.350706517342758,97.90862217600532,18963.574501079405,10.39675433403182,40.44934149544017,28.292685,69.7,9.0,A,A,A+,B+
1263022,BGF리테일,282330,2022,190.81537360552815,6.569022674118882,6.227867085644433,1230.7747550002518,67.32685766660668,5.113074938119213,28.711549,55.01,34.12,A,A,A+,A
858364,BNK금융지주,138930,2022,,0.628,,,,,,11.14,51.7,A,A,A+,A
122579,BYC,1460,2022,57.0727755013241,5.275523664349681,6.097571993853253,318.30792240493986,22.89447517232439,76.29010077929067,27.228859,62.75,2.18,D,D,D,D
148540,CJ,1040,2022,68.32562473567872,1.4237974223371865,215.4233566207427,1867.7787551618994,63.23904769805455,0.05354053602976237,31.507218,52.17,17.94,A,A,A+,B+
303873,CJ CGV,79160,2022,111.54501505316449,-5.9561128011782625,,7401.593146138893,89.08530358978594,18.023008719901853,28.912363,40.02,9.17,A,A,A+,B+
113410,CJ대한통운,120,2022,80.43192987502474,2.030493104661333,9.830231854705945,693.8339519111893,58.38044407683951,,29.902456,40.17,19.64,A,A,A+,B+
129013,CJ씨푸드,11150,2022,119.2537960926258,5.173912520539776,,-582.2935626265539,47.22142018194299,9.297487326149264,25.688967,46.26,3.61,B+,B+,A,B
635134,CJ제일제당,97950,2022,80.67218163916408,2.6743998137399476,81.15385811533528,1441.7636712622727,61.586879882751965,0.07284492907799948,31.03266,41.81,20.06,A,A,A+,A
149026,CS홀딩스,590,2022,27.51597061305641,5.159951828037646,0.543479193462038,1021.802645331862,9.2533439148802,6.362070932403087,26.620754,73.35,2.4,C,D,D,B
163345,DB,12030,2022,70.20621631049109,1.3789061024180547,326.2091870870374,2276.7687988798834,31.216139104849,75.19620834848423,26.749898,43.81,2.45,C,D,B,C
159102,DB손해보험,5830,2022,,3.333,,,,34.64456655673774,,23.21,45.8,B+,B+,A,B+
115694,DB증권,16610,2022,,-0.001,,,,,,33.72,8.42,B,C,B,B+
160843,DB하이텍,990,2022,100.52402427657657,26.326684751297623,,3791.9840604583464,22.82076073209602,477.32523159778174,28.38371,17.38,39.9,B+,A,A,B
108746,DKME,15590,2022,84.16015797338726,5.853009493498956,,3093.8120652989355,43.00248468353688,,25.984334,43.85,0.65,D,D,D,D
109693,DL,210,2022,71.90133658005338,0.8473797077991057,2.801959209048343,11939.145831872542,61.5794382233005,0.12074511805336947,30.117509,43.35,48.6,A,A,A,A
116949,DN오토모티브,7340,2022,89.30887211391101,4.026905343223157,36.877200864334355,23912.0812701083,75.3569379121009,234.48544076373983,29.155248,50.89,6.34,C,C,B,D
118266,DRB동일,4840,2022,57.846164039409075,0.3741717328194243,5.916254268597942,2003.797612267131,49.2436366927632,11.773398275058728,27.574703,69.75,1.92,B+,B,A,B+
110608,DSR,155660,2022,68.78439701990787,6.730757663419235,,3488.730775132486,44.524051499921555,,26.622369,68.33,1.3,D,C,C,D
151298,DSR제강,69730,2022,55.92275675020303,11.15136971528216,5.65790079310727,2633.1792749300257,29.415243814914188,49.17891238544246,26.28163,57.18,3.34,C,C,C,B
117726,DYP,92780,2022,83.59924499035138,0.7686126436313386,0.1827672510094792,1220.9173269860257,66.72815333918992,168.51180755890488,26.648233,55.79,2.04,C,C,B,D
165583,E1,17940,2022,72.38101524151459,3.2598331835083956,23.177208044569177,5509.1250621173,65.19641216426402,,29.098816,45.33,4.57,A,A,A,B+
126487,F&F 홀딩스,7700,2022,52.769302759125566,11.61465171173098,390.0285248557247,14986.234497733712,19.640144610395648,,28.910598,91.71,13.47,A,B+,A+,B+
557508,GKL,114090,2022,229.05656475501505,-3.7315629152044996,62.976861987927016,20805.05603309145,37.25231392554692,0.008889378891970626,27.135926,51.0,7.66,B+,B,A,B+
500254,GS,78930,2022,63.39240654081767,7.318808703740749,26.223329091990255,4270.755305380116,51.39528218683187,27.66718810073917,31.155092,52.46,22.75,B,B+,A+,C
120030,GS건설,6360,2022,79.07455890154105,2.6035377351973845,25.912262430429582,3610.461529171842,68.39367465264363,28.188833964951165,30.461089,23.71,29.97,A,A,B+,A
138190,GS글로벌,1250,2022,84.42923439589562,4.79503655181359,1.5947510567306158,3174.5121690048004,71.3462927548391,7.877013529016503,27.981264,50.82,3.47,B+,B+,B+,B+
140177,GS리테일,7070,2022,85.02713057433431,0.48421232647827617,0.0972882869835302,1584.7933046469193,55.046631699633274,,29.916707,57.9,20.1,A,A+,A,A
164636,HDC,12630,2022,61.139370741851806,0.3188171610399432,40.2759631401518,555.1907311056182,58.31007127976087,9.128134058023086,30.081366,38.57,17.2,B+,B+,A,B
350312,HDC랩스,39570,2022,83.47037013754112,3.2492106967568755,29.477900628569227,12242.41118525933,31.90518607487099,65.35983102897305,26.670202,61.25,3.83,D,D,D,C
357935,HDC현대EP,89470,2022,68.95531329718224,1.7268780316950993,15.543456174686753,2164.831221048794,48.043962188170944,44.030796880438494,27.125731,48.26,8.55,B+,B+,B+,B
1310269,HDC현대산업개발,294870,2022,69.42885529967621,0.6845382026995752,42.87663807458785,-195.02914691797122,60.44515902915306,,29.623859,41.49,33.25,B+,B+,A,B
164830,HD한국조선해양,9540,2022,75.54343933941848,-0.9877602359133832,5.138128325446754,1167.3619345983439,58.79953963053488,72.34126342570788,31.028327,33.96,16.95,A,A,A+,A
1205709,HD현대,267250,2022,71.40016376517593,3.4084576232872283,0.011069575584075841,11460.948406704258,64.52133820229047,3.0488251764567686,31.814153,34.37,19.19,A,B+,A+,B+
1205842,HD현대건설기계,267270,2022,87.18612443670658,2.8825327773324374,52.454595144149295,704.1668175252534,51.6530378036566,168.58800496711592,28.868986,36.18,11.36,A+,A+,A+,A
406046,HD현대마린엔진,71970,2022,102.1143055206544,3.39760820024573,,3051.1767902702964,53.84571928469144,818.6667729203384,26.75465,47.81,1.04,C,C,C,B
164609,HD현대미포,10620,2022,125.26928809289015,-0.9217462957468704,,2873.528576614508,54.188052061374684,48.019014643028854,29.188796,,13.68,A,A,A+,B+
344287,HD현대인프라코어,42670,2022,98.88247024089972,4.846265688062247,29.925694571837735,353.6356050051066,65.4811968943665,338.91117178630816,29.186355,33.35,16.6,A,A+,A+,B+
1205851,HD현대일렉트릭,267260,2022,128.7813420669278,6.653633899324385,18.45094295992049,1652.8743332698,65.86617756875299,230.68668009740406,28.52098,40.04,4.88,A,A,A+,A
633835,HJ중공업,97230,2022,97.70334311700329,-1.9535015229600687,12.045881723310458,478.34438498662786,85.00640846641951,7.818079224321273,28.574031,66.85,20.7,B+,B,B+,B+
161116,HL D&I,14790,2022,80.4651430496912,1.5052945985085064,41.27947431484559,-21.76365414793564,74.38023694171771,4.705594177511245,28.1423,100.0,3.22,A,A,A+,B+
169048,HLB글로벌,3580,2022,236.1698290063595,-12.676705034664051,249.6722543945536,-100.84187049392621,43.44211836853963,484.89053818859463,25.512807,6.25,0.45,D,D,D,D
1042775,HL만도,204320,2022,93.47614569584348,2.023449476899816,3.4218426504897566,2226.507719782542,61.104895705322484,538.7948008509173,29.396752,30.26,24.52,A,B+,A+,A
299002,HL홀딩스,60980,2022,70.03414627359578,0.10879979480585868,83.43205196377671,2266.203248579162,55.90979382031619,2.4276135496473747,28.455137,28.48,10.97,A,A,A+,A
164645,HMM,11200,2022,57.15937732119196,38.82979372594058,1.3076629587515747,3471.4880542096553,20.34978788921227,,30.888096,20.69,9.34,A,A+,A+,B+
140168,HS애드,35000,2022,85.53203983457286,3.205392741509909,3.202160868330399,1569.2613522337397,67.5898828837048,67.70359463961545,27.023673,35.0,31.4,B,D,C,B+
174527,HS화성,2460,2022,66.44308537037628,3.03866209358648,10.690317360805938,5292.722178629165,52.15933822971983,23.06011230565751,27.338163,41.36,13.1,C,C,C,B+
1316254,HS효성첨단소재,298050,2022,123.66517731638058,5.460102750048692,8.616711134766854,677.0728662040125,72.7551764183967,88.55948522466271,28.707631,44.44,7.16,A,A,A+,A
105101,INVENI,15360,2022,77.83692940265881,-0.16559844880299326,,1406.700151886632,65.1642201642757,,28.030732,68.52,15.43,B,C,B,B+
980122,JB금융지주,175330,2022,,1.064,,,,,,14.61,40.88,A,A+,A,A
225706,JW생명과학,234080,2022,120.58075434798955,5.91489743070044,84.93320823767269,1125.5775838424438,44.51994147647077,36.47487163491294,26.256427,43.11,7.09,B+,B+,A,B
149947,JW중외제약,1060,2022,130.79858063694053,4.75379862187691,122.02166415987097,1282.0323870626416,64.0495493195974,893.2403274734613,27.165763,42.79,7.59,B+,B,A,B+
632304,JW홀딩스,96760,2022,89.34522190366579,4.0154593049585285,142.55222292558526,958.2444689591953,71.21038224464006,707.0725747061606,27.777352,50.16,5.3,B+,B,A,B+
117629,KBI동양철관,8970,2022,113.2334378516054,2.1760833901896097,0.4088338785338548,4623.113769711476,51.801943613058796,5.604277675141987,25.929983,24.97,1.7,C,C,C,C
688996,KB금융,105560,2022,,0.581,,,,,,9.05,66.5,A+,A+,A+,A+
159971,KC그린홀딩스,9440,2022,75.44067989224064,-2.148742237145088,,1195.3735310125846,67.46113880538954,835.4376982544215,27.398913,47.6,3.8,C,C,D,C
797364,KC코트렐,119650,2022,92.35738416561293,-6.841403648578689,0.4749234321561483,1874.4354848625082,82.45462302249312,22.893577069528494,26.502384,34.7,4.22,C,C,D,C
589127,KEC,92220,2022,94.6066480356346,5.551875601368387,2.1680417794906885,-422.52286289375576,24.05412244422078,213.51832928872477,26.717568,34.53,6.31,D,C,C,D
115676,KG스틸,16380,2022,68.83182704696037,17.524570183444226,,1385.7795994908474,44.61213265618165,5.529245927118681,28.746657,39.98,0.03,B,B+,A,C
101220,KG케미칼,1390,2022,57.66318025354309,13.646585418631538,26.460961708412917,3689.408506716423,53.58194296114749,12.244112645996182,29.574343,50.12,8.03,C,C,D,C
193009,KH 필룩스,33180,2022,70.62824711330774,-7.2538464180523645,229.9681632409676,3669.094876902286,61.51341185026029,4.924164568314154,27.850975,19.01,7.93,D,C,C,D
159740,KISCO홀딩스,1940,2022,28.39389088416843,7.1387848542347285,,1453.4219132400212,13.81038863071819,,28.182568,45.45,9.95,D,C,D,D
191472,KPX케미칼,25000,2022,55.15493808011623,3.806508299357035,,-364.48911375463837,23.37752382784793,46.919407376104616,27.378421,51.06,27.88,C,C,C,C
587466,KPX홀딩스,92230,2022,37.20608779092222,2.061181426646777,4387.534226601018,14.08905828080127,24.670692392173642,37.20348669063637,28.229799,47.9,32.06,C,C,C,C
112378,KR모터스,40,2022,109.25931059001056,-8.714856212618338,26.61834551119074,-1232.240539995193,73.17159950999817,10.55025873864154,25.728455,52.86,16.39,D,D,D,D
