corp_code,corp_name,stock_code,year,TQ,ROA,ADV,SGR,LEV,R&D,A_SIZE,MSE,FOR,ESG,E,S,G
365387,AJ네트웍스,95570,2024,85.5097022310472,1.2574905559882492,7.338030532514141,828.9287351017884,74.168656676011,,28.172048,55.26,7.95,B+,C,A,A
125080,AK홀딩스,6840,2024,79.06411471249986,-0.3107754088757596,234.6057075320266,19.24340441789173,76.67120706972335,38.50249527343036,29.305661,65.17,12.75,A,A,A+,B+
219097,BGF,27410,2024,28.2531383577663,4.1189709211700265,59.8038903280081,2179.983160316864,13.90172379149191,75.60891130220205,28.464355,69.72,9.0,A,A,A+,B+
1263022,BGF리테일,282330,2024,117.26530020002937,5.73733144755405,5.895094808895821,615.0318746748246,65.19907202170609,5.213388252406893,28.855558,53.39,34.12,A+,A+,A+,A
858364,BNK금융지주,138930,2024,94.86178686655123,0.49188291941971035,,,92.6887002994092,,32.657992,10.42,51.7,A,A+,A+,A
122579,BYC,1460,2024,47.56665370312658,2.6428509831276545,85.77813529270509,-189.66306665741098,21.10755372713889,87.88998042326686,27.269191,65.26,2.18,D,D,D,C
148540,CJ,1040,2024,68.72445090546518,0.3183270471184301,219.50356747249268,554.7324812790291,62.63682239356398,0.049949530967608194,31.491688,57.12,17.94,B+,A,A+,B
303873,CJ CGV,79160,2024,107.48493401075197,-4.390012731634794,,2665.509837862769,85.57061190708617,29.87892725027203,29.016569,33.62,9.17,B+,A+,A+,B
113410,CJ대한통운,120,2024,76.39293792977502,2.7537384663866447,13.547815955625714,296.4570329012373,56.63318441970732,,29.907658,40.18,19.64,B,A,A+,C
129013,CJ씨푸드,11150,2024,111.98889018107887,2.899979830138464,,3058.2222953925757,51.681884157632126,4.774434804402644,25.877015,46.26,3.61,B+,A,A,B
635134,CJ제일제당,97950,2024,72.15110491405468,1.2001180278573453,70.76080623108933,115.6336166427312,59.393742240276914,0.07425743124882328,31.037206,41.81,20.06,A,A,A+,A
149026,CS홀딩스,590,2024,27.784210763049426,9.174608856784005,516.017713250859,-1745.3813537014894,8.504919666830391,2.5356041227308403,26.745712,73.35,2.4,C,D,D,B
163345,DB,12030,2024,84.83487471424415,10.66439893756181,213.76150946359274,2809.7767616622746,54.6839283107768,,27.491826,43.82,2.45,C,D,B,C
159102,DB손해보험,5830,2024,96.82287668276692,2.7865349129880013,,,85.87916456054495,33.66843566970705,31.828315,23.12,45.8,B+,A,A,B+
115694,DB증권,16610,2024,91.05394689355589,0.4961048690802837,23.832116781772413,924.2185652898586,88.99738989846861,,29.998517,33.67,8.42,C,C,B+,C
160843,DB하이텍,990,2024,77.93456602352283,9.570301709266733,,-199.75270266664947,16.52845072128673,830.0178937769392,28.505177,17.82,39.9,B+,B+,A,B+
108746,DKME,15590,2024,97.83057488706932,1.0668870058277884,,-45.69805873564635,40.7662159480766,,26.08865,,0.65,D,C,D,D
109693,DL,210,2024,67.10186653741472,0.7565745240731748,4.081655550149417,1190.8621181538203,61.81914398222988,182.9746347343814,30.159571,49.0,48.6,A,A+,A+,A
116949,DN오토모티브,7340,2024,78.26433368933742,6.3569118204009625,55.90083481831821,505.61918986589643,56.63687690689333,274.3920489145076,29.241665,50.89,6.34,C,B,B+,D
118266,DRB동일,4840,2024,55.25089901293936,1.3446133379913152,4.200796960310009,202.09825748497278,47.00433139938079,175.36455684184673,27.613279,69.75,1.92,B+,B+,A,B+
110608,DSR,155660,2024,52.348644181746884,3.9936809879052113,,299.3536179274406,35.55145940521781,,26.618754,68.33,1.3,D,C,C,D
151298,DSR제강,69730,2024,49.58257447367026,-12.594826017767982,13.560709047191452,123.44305113176436,26.446219250355153,57.59598584278205,26.137967,57.37,3.34,D,D,D,D
117726,DYP,92780,2024,80.89638910495366,2.0996361802003416,0.5253759292780642,220.33489217385363,66.00869544854172,254.72681987188164,26.749024,55.79,2.04,D,C,C,D
165583,E1,17940,2024,88.18554864048656,0.45115865510935327,22.367623190141888,4298.400312743226,84.94421923768385,,30.307909,45.36,4.57,B+,A,A+,B
126487,F&F 홀딩스,7700,2024,28.14286623359693,7.983362406887393,493.9628604487653,-443.0100985233392,16.44711557812563,,29.025594,91.71,13.47,A,A,A+,A
557508,GKL,114090,2024,143.70767180957972,5.364913095116447,47.99525523868087,-7.6540601955191025,32.89126500868466,0.008426044712974937,27.14689,51.0,7.66,A,A+,A,B+
500254,GS,78930,2024,57.73717754166324,2.462730508891352,16.54039117829465,-262.15030016751547,47.32297194926744,29.52390450790982,31.188179,53.07,22.75,A,B+,A+,B+
120030,GS건설,6360,2024,79.76618752008365,1.4824449501952603,18.79069827741561,-426.35027922280057,71.42593959859106,0.05670092427835584,30.510405,23.64,29.97,A,A,A+,B+
138190,GS글로벌,1250,2024,75.94473930335404,3.894556773878963,3.4823167698579685,382.9992229881845,60.60912798385232,,27.995415,50.78,3.47,A,B+,A,A
140177,GS리테일,7070,2024,76.23212145749764,0.1291502125942481,51.970770050241995,442.5761701219014,58.036563073184254,38.311951012610955,29.656751,57.91,20.1,A+,A+,A+,A
164636,HDC,12630,2024,64.61391787979673,2.099493081893845,41.31923329827462,494.1800221604699,58.875038875708505,0.04097569933158846,30.148581,41.88,17.2,C,A,A+,D
350312,HDC랩스,39570,2024,89.95571064397207,4.330719552453184,34.27144318008516,371.54149054525385,38.948246386258226,70.68667345910235,26.805853,61.25,3.83,B+,B+,A,B+
357935,HDC현대EP,89470,2024,65.19362220406522,2.5195229570211133,15.290753005150917,-174.1269478845502,47.271689162230004,111.30699044853162,27.170555,48.26,8.55,B+,B+,B+,B
1310269,HDC현대산업개발,294870,2024,74.2027176855608,2.086840161792963,10.800629998549535,156.16407015923156,58.25995421672431,59.69127816905579,29.640826,43.01,33.25,A,A+,A+,B+
164830,HD한국조선해양,9540,2024,105.39352877830245,3.961367867341293,3.932873730587924,1992.0787143318173,61.44840484319588,76.14872092877592,31.234319,36.66,16.95,A,A,A,A
1205709,HD현대,267250,2024,72.74975336870884,2.6130587385046615,3.873202612474327,1049.1091841886755,64.28009809190883,3.8106340176753357,31.933283,36.33,19.19,A,A,A+,B+
1205842,HD현대건설기계,267270,2024,78.1444614463402,2.585756932444621,83.53251767221755,-1011.5239858092826,46.04413262047538,265.6321845793009,28.832378,36.18,11.36,A,A,A+,A
406046,HD현대마린엔진,71970,2024,205.05957194101234,15.309244804768355,,2922.866302438895,37.49540745682634,336.1685269331721,26.927749,47.5,1.04,B,B,B+,B
164609,HD현대미포,10620,2024,163.68937469647577,2.2167018169762254,,1463.167703036908,58.76912342296099,38.97799128877164,29.261999,,13.68,A,A,A,A
344287,HD현대인프라코어,42670,2024,87.87492677116458,2.5288251971902405,62.709792339137614,-1170.51692582989,56.91300255658608,489.99438631875074,29.086654,33.3,16.6,A,A,A+,A
1205851,HD현대일렉트릭,267260,2024,423.0758200406809,13.13143495130259,23.20045239838554,2292.2518205212464,60.28193352243345,284.8556842930473,28.964849,40.01,4.88,A+,A+,A+,A
633835,HJ중공업,97230,2024,106.82351240752139,0.2370228299482542,11.214435921826633,-1277.0660380107424,84.42240598359031,7.937593652470198,28.42149,66.87,20.7,A,A,A+,B+
161116,HL D&I,14790,2024,77.04901740000228,1.2566379595531592,48.47858092127679,43.56902973248391,72.12494368126724,21.948516321189274,28.16341,100.0,3.22,A+,A+,A+,A
169048,HLB글로벌,3580,2024,176.46347597890605,-6.62679269531077,3072.001272455691,2303.2906387568332,30.057434373579127,,25.635322,6.2,0.45,D,D,D,D
1042775,HL만도,204320,2024,89.16699975818203,2.244019091054745,4.42521532304935,542.2260982355468,62.09956808417123,0.5529587966111471,29.584338,30.26,24.52,A,A,A+,A
299002,HL홀딩스,60980,2024,69.36037396222297,0.8364822647357164,52.316542741447,665.5041896549337,55.09548236177431,3.5684700096182667,28.494233,29.33,10.97,A,A,A+,B+
164645,HMM,11200,2024,63.6723518693645,11.173677038333269,2.4384148542797126,3927.231489605544,17.705384352812388,,31.152918,29.2,9.34,A,A,A+,A
140168,HS애드,35000,2024,82.3016855484773,4.101891640637166,15.450026274469424,116.65242697629449,63.3100896096706,73.8649016520751,27.038756,35.0,31.4,B,C,B,B+
174527,HS화성,2460,2024,65.85547455818548,1.6158487038326188,8.761202549083901,-3251.8304921868676,54.055108636076454,31.231027323933848,27.448874,42.39,13.1,C,C,B,B
1316254,HS효성첨단소재,298050,2024,90.1815329754186,2.046254861278393,12.971019339510518,340.05425237177604,69.70922183551058,96.36002655780258,28.971472,45.74,7.16,A,A,A+,B+
105101,INVENI,15360,2024,85.64253404778404,2.3538810423642733,,159.55232500329834,60.72965998695283,8.531968421083004,27.824802,69.08,15.43,B+,B+,B+,B
980122,JB금융지주,175330,2024,96.17988995855245,1.0386257804295003,,,91.41990291225758,,31.831555,14.61,40.88,A,A+,A,A
225706,JW생명과학,234080,2024,91.34252798226692,13.521161404929549,70.27770510739643,754.9886782242793,38.38604407875742,13.715552494636194,26.508086,43.09,7.09,B+,B+,A,B
149947,JW중외제약,1060,2024,137.93849493806053,10.757572010808632,149.92281717793426,-389.4443734949112,45.50321697683322,1157.8093821754328,27.12783,40.99,7.59,B+,B+,A,B+
632304,JW홀딩스,96760,2024,76.16027615487445,9.818242551295203,158.5088766508594,-434.89786361882415,58.30870266231789,938.2568291027443,27.854651,51.18,5.3,B+,B+,A,B+
117629,KBI동양철관,8970,2024,96.89735326577764,-10.213515042996459,0.23492045857098848,-1006.2054052457746,43.82145757320886,7.362399181122992,25.982508,26.01,1.7,D,C,D,D
688996,KB금융,105560,2024,96.41197663836064,0.6635397040250677,,,92.1072067493564,,34.261501,8.3,66.5,A+,A+,A+,A+
159971,KC그린홀딩스,9440,2024,46.99596081605556,-1.7227166357242438,,-3442.1406420620615,40.20294394762296,27.09293116597597,26.390877,47.59,3.8,D,C,C,D
797364,KC코트렐,119650,2024,83.99267701379993,-10.459797506906163,1.0861826935675145,-2099.768615222872,70.9997378850112,27.911966251999416,26.407062,29.52,4.22,D,C,C,D
589127,KEC,92220,2024,57.26031941196433,-2.442368799071796,1.693342574007898,1751.0149151374872,22.499191642723908,215.1337930170468,26.833601,31.31,6.31,D,C,D,D
115676,KG스틸,16380,2024,57.8865115065427,3.9644519269911167,,-375.71977541090183,41.33494808804402,6174.8670372978995,28.837402,39.98,0.03,B,B+,A,C
101220,KG케미칼,1390,2024,56.87888074905566,2.7998672899172905,25.70753900695099,-78.26501430100608,53.7494708889823,0.11122804430546893,29.730381,50.93,8.03,C,B+,B+,D
193009,KH 필룩스,33180,2024,66.91413508975428,-6.056051377608209,164.80160811384246,1843.9810398847676,53.5680644554268,9.550896382622877,27.591274,34.14,7.93,D,C,D,D
159740,KISCO홀딩스,1940,2024,27.62217566203485,2.6494897793469323,1.1395336515331014,-3429.0072790562567,8.74353143432175,2.846114961009815,28.167687,51.33,9.95,C,C,B,D
191472,KPX케미칼,25000,2024,44.46934228476108,7.252364228223462,,24.662819936206944,20.36955251181356,66.10817882836086,27.503922,51.07,27.88,C,C,B,D
587466,KPX홀딩스,92230,2024,34.212772662174565,5.885549917396075,7765.71426046299,140.28010181786686,23.18096772142681,49.33322376236028,28.333204,47.9,32.06,C,C,B,D
112378,KR모터스,40,2024,93.73480083407466,-16.678622770921763,115.75435214471665,2061.7379304497726,61.71942290018757,203.24905668934687,25.169118,52.83,16.39,D,C,D,D
160232,KSS해운,44450,2024,82.70272614772071,3.034544289968381,1.6213324393525457,959.074747930571,72.01393638771772,,28.268658,30.23,8.25,B+,B+,A,B
372882,KTcs,58850,2024,79.6486773595565,1.5662890802775917,32.5343738891677,830.38906335796,53.35478917165399,0.1551656079538707,26.798764,30.3,9.47,B+,A,A,B+
372873,KTis,58860,2024,75.04479627224082,2.5241113134736812,,184.4931889480333,55.71578883562598,,26.875854,29.31,6.08,A,A,A+,B+
593032,LF,93050,2024,54.73160198868524,3.1082002147765895,266.91633321252993,292.2179548999384,39.18356858152256,,28.70088,53.73,30.48,B+,B+,B+,B+
120021,LG,3550,2024,46.879432077974734,2.498407596154311,6.968150673715649,-362.4161488480842,11.083187657314369,71.40298975472807,31.08542,41.7,33.78,A,B+,A+,B+
105873,LG디스플레이,34220,2024,89.32485292106415,-7.332111446633228,25.208012504965655,2477.4144865229973,75.43239919845564,840.6439337424382,31.123264,37.9,20.56,A,A,A+,B+
356370,LG생활건강,51900,2024,87.54527549553673,2.7530876893064344,733.9517951608615,10.403458813555792,23.22325333428477,235.49899188279383,29.633282,34.04,44.44,A,B+,A+,A
231363,LG유플러스,32640,2024,78.39333276399667,1.5963380866289523,144.22847471876963,175.73128250884702,55.50791998875568,97.36893818463176,30.612032,37.67,36.62,A,A+,A+,A
105961,LG이노텍,11070,2024,86.6429394530529,3.9485465730468023,,288.9864690086866,52.94633286846826,351.25871696550433,30.062721,40.8,32.4,A,A,A+,A
401731,LG전자,66570,2024,82.40569275696667,0.9010646097448515,181.18487853766308,664.3983715382716,61.584912561314376,542.9553983006282,31.815048,33.68,33.72,A,A,A+,B+
222532,LG헬로비전,37560,2024,79.42213262967937,-8.542580733641135,213.58159019775033,51.90411824769604,64.28797761560462,0.4513407169345084,27.848965,50.0,8.86,A,A,A+,A
356361,LG화학,51910,2024,67.66663022499941,0.5487143407489302,18.247978211837967,-1146.3720628053122,48.86361875962906,447.7760534649285,32.172802,30.09,37.6,B+,B,A+,B+
503668,LIG넥스원,79550,2024,158.99442668228465,3.5369691241049592,35.049349954334474,4192.066766035533,79.79784866255376,242.30394864713782,29.443443,42.51,4.53,A,A,A+,A
105952,LS,6260,2024,81.27092544458556,1.9072299464646694,,1251.5633206067316,66.47908491933848,11.734033558515492,30.652808,32.15,13.75,B+,A,A+,B
104698,LS네트웍스,680,2024,92.58289373736775,-0.33214405354721566,90.84273030684183,40939.20456914184,90.30535113640202,,29.892941,81.8,0.36,C,B,B+,C
1093007,LS에코에너지,229640,2024,253.96622158679395,7.233108399249308,,1886.2573831050508,59.692506563042436,189.51111348830392,26.914968,60.6,3.53,C,D,C,B+
525934,LX세미콘,108320,2024,89.72211920226081,8.701759190885173,3.112727678236501,-188.4011212549216,28.018060829525247,54.769950866996155,28.036354,33.09,,A,A,A+,B+
120076,LX인터내셔널,1120,2024,74.5696140474311,3.01753192154943,,1462.8438994446244,62.82990095516053,,29.820534,24.71,14.34,A,B+,A,A
759513,LX하우시스,108670,2024,75.20252003039548,1.882175443455095,166.46248806003078,131.1160820770961,63.05160309000946,186.83182364343472,28.487263,30.16,13.11,A,A,A,A
121534,MH에탄올,23150,2024,91.0002464734219,-4.887683275880145,1.971730064060867,-480.1358856016868,80.80591650353318,,26.718976,43.64,0.71,D,D,D,D
266961,NAVER,35420,2024,111.82200717326978,5.06178643823341,1489.478330156901,1103.417450567253,29.257494383875198,1730.2892301506627,31.273015,9.3,58.28,A,A,A+,A
983271,NHN,181710,2024,63.376833017831636,-6.031846876216658,0.007609600646399616,821.6944696224693,44.712090140876256,572.6877063618282,28.791993,53.42,12.16,A,A,A+,A
120182,NH투자증권,5940,2024,94.3120000452528,1.0999043443737102,,,86.99383192209982,,31.76502,56.83,14.67,B+,A,A,B+
158316,NICE,34310,2024,71.91324013628623,2.8644819349660526,132.61227026390264,,60.45384754122776,18.126231576553135,28.890016,48.68,12.92,B+,B,A,B+
158325,NICE평가정보,30190,2024,152.59846742157035,12.981936720580102,315.1762602703561,1015.3771590822089,28.84383307860377,591.0725814947099,27.096018,43.43,,B+,C,B+,B+
116301,NI스틸,8260,2024,67.3699786379013,5.4301530226809955,0.30515039135148075,-2811.0186867615485,46.26809536119327,14.874437217377007,26.883818,58.95,2.53,D,D,C,C
148896,OCI홀딩스,10060,2024,54.15108361969978,1.4050962378081047,,3501.129540573342,40.25515656287963,90.10099241673416,29.722102,28.67,22.84,B+,B+,A,B+
767460,PI첨단소재,178920,2024,129.96772081644764,4.431444707978286,4.060320401497396,1546.4138544423702,35.944522826300926,391.41303231335473,26.991465,54.18,,B+,B+,B+,B
122472,PKC,1340,2024,123.01078624194672,0.7755071189747682,0.3385011414941977,501.290744721451,54.03141309695656,71.35845470571154,26.863787,43.15,3.13,D,C,D,D
155319,POSCO홀딩스,5490,2024,60.82839116519454,0.9163847611953501,3.2715101756856715,-575.5497561028113,40.57265709201187,5.046490170921017,32.269667,6.38,51.38,A+,A,A+,A+
138279,S-Oil,10950,2024,89.66886726679782,-0.7894915606786728,8.32381859763691,254.80583230007232,64.4370659175681,5.330126232117443,30.82771,63.43,79.0,A,B+,A+,A
130772,SBS,34120,2024,67.23514672710574,2.2334816651645495,163.0588312696494,500.49803865369284,40.06515228410544,53.22105149019411,28.044697,36.32,,B+,B,A,B+
132725,SB성보,3080,2024,65.09607699373278,-1.6813018692189625,72.93283383233788,-443.1239564507248,42.18934024130597,377.9572420430652,26.101995,48.62,1.17,D,D,C,C
125150,SGC에너지,5090,2024,84.5087731164777,1.0445794662483998,17.263040314824504,-2212.4575364541342,74.15139637909071,0.8492848835343998,28.865416,54.75,1.94,B+,B+,A,B
152039,SG글로벌,1380,2024,99.787634778575,3.1599184872966717,,295.89259372732715,25.10297284126513,,26.020991,58.53,2.34,D,C,D,D
133511,SG세계물산,4060,2024,34.24776298330859,1.738031763421731,153.08935771141716,-299.01341319307664,13.23388500893524,96.25541807499206,26.454188,50.61,3.39,D,D,C,D
137809,SHD,1770,2024,54.80729116486977,3.571969336292618,0.08254788196755321,29.255208103955454,34.591620973855605,,25.129628,50.78,0.57,D,D,D,C
136457,SH에너지화학,2360,2024,80.62278999879788,-9.437050472531945,,-596.1350486284381,27.560963448446902,,25.427158,31.06,34.53,C,C,D,B
138260,SIMPAC,9160,2024,66.6944490500397,2.5430350854497217,0.4508817254094295,2881.4869851477374,43.937245852344795,,27.707616,59.99,8.61,D,C,C,D
134510,SJG세종,33530,2024,71.83383047945301,2.7429784564495923,0.878627248350183,135.41678826786782,62.97592265465738,29.6679532216255,27.846631,43.79,4.08,C,C,B,D
181712,SK,34730,2024,67.08802225392121,0.24598359139988038,42.80785313459358,-318.9501446554473,62.65309572449994,64.83496300786943,33.001556,25.87,25.1,A,A,A+,A
139889,SKC,11790,2024,125.00082649924649,-6.742883649880374,6.876768812173808,1527.2413903690108,66.02693852304735,49.86660546218537,29.540368,40.91,8.02,A,B+,A+,A
144164,SK가스,18670,2024,89.02231805486423,2.3577845853167756,9.888644093949814,148.2277663241337,63.68072247396817,,29.651193,72.33,6.18,A+,A+,A+,A
131780,SK네트웍스,1740,2024,77.99151995810072,0.8976312207819507,42.68617019539965,273.4320442842866,60.18503706228795,0.031718830744228925,29.271401,45.69,16.84,A,A,A+,A
131832,SK디스커버리,6120,2024,62.03355912583513,0.2116974344741402,32.709937994708376,112.29847090604133,57.19932343714098,0.04994577809864416,30.344237,48.5,12.05,A,A,A+,A
508344,SK디앤디,210980,2024,70.22160683874091,3.022452524267637,5714.156385187983,12615.360764235347,61.016203202247524,,28.01098,34.12,3.76,A,A+,A+,A
631518,SK이노베이션,96770,2024,79.43273860595116,-2.1464587552256846,12.957698870087484,-332.716530962315,64.12840495646634,64.2720119514572,32.336309,34.47,34.38,A,B+,A+,A+
131850,SK증권,1510,2024,94.4270603337974,-1.3630092570487664,,,90.84548119900504,,29.440833,19.6,6.05,A,A+,A+,B+
1267170,SK케미칼,285130,2024,57.730518184427346,-0.08132465805818587,111.24528273362012,-68.61271217544596,43.489123332766326,259.9582476947549,29.311299,42.66,6.38,A+,A+,A+,A
159023,SK텔레콤,17670,2024,100.09430340857384,4.545578924377332,103.86492454074441,188.6008419451253,61.240258356025535,218.96915539489208,31.049248,30.03,37.16,A,A,B+,A
164779,SK하이닉스,660,2024,143.95629335851393,16.517348027819136,18.651832460732987,10201.89454716376,38.32916848862197,15.815428105949636,32.417306,20.07,50.47,A,A,A+,B+
134477,SNT다이내믹스,3570,2024,83.73573205061203,9.296307974191805,3.9989695350142025,2644.2615461616006,23.57072443673372,259.51525002375274,27.664539,45.28,12.27,D,C,C,D
398792,SNT모티브,64960,2024,68.15310252888946,8.402627707907637,15.170347394646313,-1473.070875088642,20.69778118795047,205.40860838251126,27.847604,41.1,29.19,D,C,C,D
648721,SNT에너지,100840,2024,136.389072120746,6.70460291003156,1.292783575649856,-860.0995792290017,40.712944301279805,16.611259650213086,26.970551,59.93,2.54,C,C,D,C
225159,SNT홀딩스,36530,2024,37.64122987112535,8.702742442583714,9.643498287227589,-396.6916683519259,24.69050986284242,204.5466704600908,28.672203,63.94,10.68,C,C,C,C
125530,SPC삼립,5610,2024,96.30957910916365,6.970659617085746,61.9388365143464,-15.734258113720834,61.32889198497957,28.23157303275497,27.846775,73.57,3.44,B,B+,A,C
138297,STX,11810,2024,102.84973006707054,-7.09306602267838,1.9690746557139407,-750.3419177788306,79.41440784999514,,27.080082,38.67,0.13,D,D,C,D
480455,STX엔진,77970,2024,119.1894296352469,2.809196322590653,13.521649711842526,1494.8509251803455,71.45264308880368,158.1126818228561,27.599335,84.42,,C,C,B,D
132211,SUN&L,2820,2024,62.66607515092082,-2.1030436654260054,2.5385878674636992,-2306.2449713211217,55.23089640645521,17.022020677870902,26.943421,46.4,1.89,C,C,C,B
117300,TCC스틸,2710,2024,179.1003420422357,3.523468430247018,1194.6589710368971,-678.1317839117467,54.871440134218815,19.908317099364965,27.075809,32.95,1.62,B+,B+,A,B
154329,TP,7980,2024,77.44858723628165,2.971342464854453,13.527830268176253,1564.663347350824,67.84385963594866,18.935519256471824,27.346441,30.36,3.67,C,D,C,C
117230,TYM,2900,2024,75.00976039174793,2.1766321532206456,132.0134643851602,-570.0694150060169,51.36867733740185,245.1453415020867,27.452573,32.05,3.61,C,B+,A,D
142865,WISCOM,24070,2024,44.7681975896559,-23.871311181781884,,-1227.0504535707773,12.797574470636949,63.89480736746256,25.330362,51.58,4.74,C,C,D,B
249247,YG PLUS,37270,2024,125.25244052983196,0.83962375220302,35.42763331867153,-1732.0122737010645,28.82876532463069,0.8408044708976754,26.194704,33.72,1.2,C,D,D,B
878915,iM금융지주,139130,2024,94.87816209332833,0.21408726522995475,,,93.40855723680338,,32.175896,6.63,52.62,A,A,A,A
104768,가온전선,500,2024,107.73039627307656,2.431256462161417,,1524.7306700670595,56.49517514225493,16.906066693112482,27.673011,48.75,5.26,B+,A,A+,B
100939,강남제비스코,860,2024,44.26058317864059,1.8688687878439623,24.053969486571063,68.06489036347052,27.30241476882259,237.78756002464854,27.600293,50.74,12.49,B+,B+,A,B+
255619,강원랜드,35250,2024,90.0644824099592,9.719805289557252,83.73203185600993,275.75374627280934,17.38014696184003,0.6725896927439605,29.17872,36.27,29.73,A,A+,A,A
129554,갤럭시아에스엠,11420,2024,85.97360540440522,4.147338478433923,95.06221108429965,-140.6609755263709,9.82917249651122,,24.969314,40.94,3.15,D,D,D,D
101433,경농,2100,2024,78.96025474738548,3.626962616449076,,-639.6527904709151,43.030546125472206,291.00764467820846,26.915668,66.8,1.29,D,C,D,D
101488,경동나비엔,9450,2024,142.95519975860898,9.150316909318102,405.25047718793405,1241.9245358925277,48.82387895880778,123.54866673370097,27.937675,57.61,8.9,B+,A,A+,B
1208885,경동도시가스,267290,2024,63.962434467299055,3.022012993377766,,-41.93454613831471,52.95151038310218,24.275801634471772,27.577286,51.98,18.16,C,C,B+,D
143527,경동인베스트,12320,2024,45.122787324531174,3.569265674873906,17.463323198187847,-380.983819972066,21.71508136875334,,27.147032,53.71,11.52,B,C,B+,B
101628,경방,50,2024,51.7815526780371,1.942963446442462,126.12809381157739,95.49215647925611,37.44570828823123,1.0015823820368985,27.825228,61.08,1.87,C,C,D,C
101664,경보제약,214390,2024,100.89706483398741,1.634217639892763,149.42508754252785,1026.016939360144,48.51676936108146,,26.371841,60.54,1.39,B+,A,A,B
102113,경인양행,12610,2024,72.02851890481551,2.981419057946266,,834.4572820360147,51.29552810539967,,27.023995,33.64,9.7,B,B+,B+,C
102140,경인전자,9140,2024,44.66571548327215,3.1657391249452607,378.18282497351186,854.5315983315604,5.33257893374195,159.72725044749788,25.116107,49.23,14.49,D,D,D,D
102432,계룡건설산업,13580,2024,72.7211206094259,1.8534506810557683,4.418406228804007,646.1434352493096,68.80724926415095,0.3175465326808975,28.709879,38.7,18.95,C,B+,C,C
102618,계양전기,12200,2024,92.76494631095484,-31.762825975923253,39.278700894408324,-327.77171449953613,71.19862630045031,371.3915607689511,25.984664,45.27,4.42,C,C,C,C
102751,고려산업,2140,2024,84.72408909084992,1.3524342157139098,6.004231109881751,-357.37132023269515,62.32787317485434,,26.385719,47.4,5.91,D,D,D,C
102858,고려아연,10130,2024,189.4523169425876,1.316774757305998,9.650349902069658,2419.8999458258927,48.652904636788094,9.292681339712654,30.325129,47.46,26.4,B+,A,A,B
103006,고려제강,2240,2024,43.23991775921634,1.2615909696496432,5.340279985419329,-275.415837188916,26.13551802228739,,28.58998,67.77,7.52,D,C,D,D
103592,광동제약,9290,2024,71.53677408811808,3.575645740074733,229.61638441450413,833.7307620669221,47.16904913317995,0.09590918034143005,27.78826,17.63,23.73,B,A,A,D
103662,광명전기,17040,2024,96.50780775911876,-30.28974532421362,3.617607581340688,-1166.9667611800774,49.33668153034835,185.00196726858357,25.683864,30.92,4.77,D,C,D,D
