corp_code,corp_name,stock_code,year,TQ,ROA,ADV,SGR,LEV,R&D,A_SIZE,MSE,FOR,ESG,E,S,G
365387,AJ네트웍스,2024,28.172048,9557000,1.2574905559882492,0.0733803053251414,8.289287351017885,85.5097022310472,0.0,0.7416865667601099,55.26,7.95,B+,C,A,A
125080,AK홀딩스,2024,29.305661,684000,-0.3107754088757596,2.346057075320266,0.19243404417891727,79.06411471249986,0.5545422532772761,0.7667120706972335,65.17,12.75,A,A,A+,B+
219097,BGF,2024,28.464355,2741000,4.1189709211700265,0.598038903280081,21.79983160316864,28.2531383577663,0.000460738754453067,0.1390172379149191,69.72,9.0,A,A,A+,B+
1263022,BGF리테일,2024,28.855558,28233000,5.73733144755405,0.058950948088958205,6.150318746748247,117.26530020002937,0.05213388252406893,0.6519907202170608,53.39,34.12,A+,A+,A+,A
858364,BNK금융지주,2024,32.657992,13893000,0.49188291941971035,0.0,0.0,94.86178686655123,0.0,0.926887002994092,10.42,51.7,A,A+,A+,A
122579,BYC,2024,27.269191,146000,2.6428509831276545,0.8577813529270509,-1.8966306665741097,47.56665370312658,0.0,0.2110755372713889,65.26,2.18,D,D,D,C
148540,CJ,2024,31.491688,104000,0.3183270471184301,2.195035674724927,5.547324812790292,68.72445090546518,0.1357093402020572,0.6263682239356398,57.12,17.94,B+,A,A+,B
303873,CJ CGV,2024,29.016569,7916000,-4.390012731634794,0.0,26.655098378627688,107.48493401075197,0.0,0.8557061190708618,33.62,9.17,B+,A+,A+,B
113410,CJ대한통운,2024,29.907658,12000,2.7537384663866447,0.13547815955625714,2.964570329012373,76.39293792977502,0.0,0.5663318441970732,40.18,19.64,B,A,A+,C
129013,CJ씨푸드,2024,25.877015,1115000,2.899979830138464,0.0,30.582222953925758,111.98889018107887,0.0,0.5168188415763213,46.26,3.61,B+,A,A,B
635134,CJ제일제당,2024,31.037206,9795000,1.2001180278573453,0.7076080623108933,1.156336166427312,72.15110491405468,0.15859958523471976,0.5939374224027691,41.81,20.06,A,A,A+,A
149026,CS홀딩스,2024,26.745712,59000,9.174608856784005,5.16017713250859,-17.453813537014895,27.784210763049426,0.025356041227308404,0.0850491966683039,73.35,2.4,C,D,D,B
163345,DB,2024,27.491826,1203000,10.66439893756181,2.1376150946359274,28.097767616622747,84.83487471424415,0.0,0.546839283107768,43.82,2.45,C,D,B,C
159102,DB손해보험,2024,31.828315,583000,2.7865349129880013,0.0,0.0,96.82287668276692,0.0,0.8587916456054495,23.12,45.8,B+,A,A,B+
115694,DB증권,2024,29.998517,1661000,0.4961048690802837,0.23832116781772414,9.242185652898586,91.05394689355589,0.0,0.8899738989846862,33.67,8.42,C,C,B+,C
160843,DB하이텍,2024,28.505177,99000,9.570301709266733,0.0,-1.9975270266664946,77.93456602352283,7.786820578114112,0.1652845072128673,17.82,39.9,B+,B+,A,B+
108746,DKME,2024,26.08865,1559000,1.0668870058277884,0.0,-0.4569805873564635,97.83057488706932,0.0,0.407662159480766,0.0,0.65,D,C,D,D
109693,DL,2024,30.159571,21000,0.7565745240731748,0.04081655550149417,11.908621181538203,67.10186653741472,1.8343586893485642,0.6181914398222988,49.0,48.6,A,A+,A+,A
116949,DN오토모티브,2024,29.241665,734000,6.3569118204009625,0.5590083481831821,5.056191898658964,78.26433368933742,1.9380447176374656,0.5663687690689333,50.89,6.34,C,B,B+,D
118266,DRB동일,2024,27.613279,484000,1.3446133379913152,0.04200796960310009,2.020982574849728,55.25089901293936,1.6580589671060475,0.4700433139938079,69.75,1.92,B+,B+,A,B+
110608,DSR,2024,26.618754,15566000,3.9936809879052113,0.0,2.993536179274406,52.348644181746884,0.0,0.3555145940521781,68.33,1.3,D,C,C,D
151298,DSR제강,2024,26.137967,6973000,-12.594826017767982,0.13560709047191452,1.2344305113176437,49.58257447367026,0.0,0.2644621925035515,57.37,3.34,D,D,D,D
117726,DYP,2024,26.749024,9278000,2.0996361802003416,0.005253759292780642,2.2033489217385362,80.89638910495366,0.0,0.6600869544854171,55.79,2.04,D,C,C,D
165583,E1,2024,30.307909,1794000,0.45115865510935327,0.2236762319014189,42.98400312743226,88.18554864048656,0.0,0.8494421923768385,45.36,4.57,B+,A,A+,B
126487,F&F 홀딩스,2024,29.025594,770000,7.983362406887393,4.939628604487653,-4.430100985233392,28.14286623359693,0.0,0.1644711557812563,91.71,13.47,A,A,A+,A
557508,GKL,2024,27.14689,11409000,5.364913095116447,0.4799525523868087,-0.07654060195519102,143.70767180957972,8.426044712974936e-05,0.3289126500868466,51.0,7.66,A,A+,A,B+
500254,GS,2024,31.188179,7893000,2.462730508891352,0.1654039117829465,-2.621503001675155,57.73717754166324,0.0,0.4732297194926744,53.07,22.75,A,B+,A+,B+
120030,GS건설,2024,30.510405,636000,1.4824449501952603,0.18790698277415613,-4.263502792228006,79.76618752008365,0.49067105931333616,0.7142593959859106,23.64,29.97,A,A,A+,B+
138190,GS글로벌,2024,27.995415,125000,3.894556773878963,0.03482316769857968,3.829992229881845,75.94473930335404,0.0,0.6060912798385232,50.78,3.47,A,B+,A,A
140177,GS리테일,2024,29.656751,707000,0.1291502125942481,0.51970770050242,4.425761701219014,76.23212145749764,0.0,0.5803656307318426,57.91,20.1,A+,A+,A+,A
164636,HDC,2024,30.148581,1263000,2.099493081893845,0.41319233298274616,4.941800221604699,64.61391787979673,0.0,0.5887503887570851,41.88,17.2,C,A,A+,D
350312,HDC랩스,2024,26.805853,3957000,4.330719552453184,0.34271443180085154,3.7154149054525387,89.95571064397207,0.7068667345910236,0.3894824638625823,61.25,3.83,B+,B+,A,B+
357935,HDC현대EP,2024,27.170555,8947000,2.5195229570211133,0.15290753005150917,-1.7412694788455019,65.19362220406522,1.1130699044853163,0.4727168916223001,48.26,8.55,B+,B+,B+,B
1310269,HDC현대산업개발,2024,29.640826,29487000,2.086840161792963,0.10800629998549535,1.5616407015923155,74.2027176855608,0.0,0.5825995421672431,43.01,33.25,A,A+,A+,B+
164830,HD한국조선해양,2024,31.234319,954000,3.961367867341293,0.03932873730587924,19.920787143318172,105.39352877830245,0.45190457710787757,0.6144840484319588,36.66,16.95,A,A,A,A
1205709,HD현대,2024,31.933283,26725000,2.6130587385046615,0.03873202612474327,10.491091841886755,72.74975336870884,0.6558339760970645,0.6428009809190882,36.33,19.19,A,A,A+,B+
1205842,HD현대건설기계,2024,28.832378,26727000,2.585756932444621,0.8353251767221755,-10.115239858092826,78.1444614463402,2.42334177456683,0.4604413262047538,36.18,11.36,A,A,A+,A
406046,HD현대마린엔진,2024,26.927749,7197000,15.309244804768355,0.0,29.22866302438895,205.05957194101234,0.0,0.3749540745682634,47.5,1.04,B,B,B+,B
164609,HD현대미포,2024,29.261999,1062000,2.2167018169762254,0.0,14.631677030369081,163.68937469647577,0.0,0.5876912342296099,0.0,13.68,A,A,A,A
344287,HD현대인프라코어,2024,29.086654,4267000,2.5288251971902405,0.6270979233913762,-11.705169258298898,87.87492677116458,4.31518720268558,0.5691300255658608,33.3,16.6,A,A,A+,A
1205851,HD현대일렉트릭,2024,28.964849,26726000,13.13143495130259,0.2320045239838554,22.922518205212462,423.0758200406809,2.0835559371736405,0.6028193352243345,40.01,4.88,A+,A+,A+,A
633835,HJ중공업,2024,28.42149,9723000,0.2370228299482542,0.11214435921826633,-12.770660380107424,106.82351240752139,0.07937593652470198,0.8442240598359031,66.87,20.7,A,A,A+,B+
161116,HL D&I,2024,28.16341,1479000,1.2566379595531592,0.48478580921276787,0.4356902973248391,77.04901740000228,0.21948516321189276,0.7212494368126724,100.0,3.22,A+,A+,A+,A
169048,HLB글로벌,2024,25.635322,358000,-6.62679269531077,30.72001272455691,23.03290638756833,176.46347597890605,0.0,0.3005743437357913,6.2,0.45,D,D,D,D
1042775,HL만도,2024,29.584338,20432000,2.244019091054745,0.044252153230493495,5.422260982355469,89.16699975818203,3.427121553277827,0.6209956808417123,30.26,24.52,A,A,A+,A
299002,HL홀딩스,2024,28.494233,6098000,0.8364822647357164,0.52316542741447,6.655041896549337,69.36037396222297,0.005396597221802259,0.5509548236177431,29.33,10.97,A,A,A+,B+
164645,HMM,2024,31.152918,1120000,11.173677038333269,0.024384148542797128,39.27231489605544,63.6723518693645,0.0,0.1770538435281239,29.2,9.34,A,A,A+,A
140168,HS애드,2024,27.038756,3500000,4.101891640637166,0.15450026274469425,1.166524269762945,82.3016855484773,0.738649016520751,0.633100896096706,35.0,31.4,B,C,B,B+
174527,HS화성,2024,27.448874,246000,1.6158487038326188,0.087612025490839,-32.518304921868676,65.85547455818548,0.0,0.5405510863607645,42.39,13.1,C,C,B,B
1316254,HS효성첨단소재,2024,28.971472,29805000,2.046254861278393,0.12971019339510517,3.4005425237177604,90.1815329754186,0.9626495910313707,0.6970922183551058,45.74,7.16,A,A,A+,B+
105101,INVENI,2024,27.824802,1536000,2.3538810423642733,0.0,1.5955232500329832,85.64253404778404,0.0,0.6072965998695283,69.08,15.43,B+,B+,B+,B
980122,JB금융지주,2024,31.831555,17533000,1.0386257804295003,0.0,0.0,96.17988995855245,0.0,0.9141990291225758,14.61,40.88,A,A+,A,A
225706,JW생명과학,2024,26.508086,23408000,13.521161404929549,0.7027770510739643,7.549886782242793,91.34252798226692,1.8116286854904389,0.3838604407875742,43.09,7.09,B+,B+,A,B
149947,JW중외제약,2024,27.12783,106000,10.757572010808632,1.4992281717793425,-3.8944437349491117,137.93849493806053,5.037317101755807,0.4550321697683322,40.99,7.59,B+,B+,A,B+
632304,JW홀딩스,2024,27.854651,9676000,9.818242551295203,1.5850887665085942,-4.348978636188241,76.16027615487445,4.402692273506478,0.5830870266231789,51.18,5.3,B+,B+,A,B+
