corp_code,corp_name,stock_code,year,TQ,ROA,ADV,SGR,LEV,R&D,A_SIZE,MSE,FOR,ESG,E,S,G
365387,AJ네트웍스,2021,27.934855,9557000,5.663071279879297,0.20226881892511503,17.752426420616104,91.94111512935044,0.0,0.7324736556575405,54.79,7.95,B+,C,B+,B+
125080,AK홀딩스,2021,29.145871,684000,-4.38200915499081,2.2278887126636873,20.905618187470104,79.1880380114348,0.5863593471604889,0.7356718223136057,64.89,12.75,B+,B,A,B
219097,BGF,2021,28.314937,2741000,1.8155343449146515,2.8553378855873945,33.935032044944975,38.11021746485246,0.00048362769064827147,0.1255833045710684,69.7,9.0,B+,A,A+,B
1263022,BGF리테일,2021,28.585139,28233000,5.686491304823252,0.05720259188408448,9.70499421788833,165.68721721365884,0.0507140277105869,0.6882891730160139,55.29,34.12,A,A,A+,A
858364,BNK금융지주,2021,0.0,13893000,0.688,0.0,0.0,0.0,0.0,0.0,13.5,51.7,A,A,A,A
122579,BYC,2021,27.251859,146000,4.362066620985486,0.6121432872575234,1.5954917225582879,70.71696364106265,0.0,0.296043294145859,45.88,2.18,D,D,D,D
148540,CJ,2021,31.367642,104000,1.9233524137283515,2.1464820613129376,7.7656039643229064,66.5598010154668,0.16680599323261966,0.6076000628632344,47.07,17.94,B+,B+,A,B+
303873,CJ CGV,2021,28.962197,7916000,-8.949641769876678,0.0,26.201594078233736,117.1562253629825,0.0,0.920410520575007,38.4,9.17,B+,B,B+,B+
113410,CJ대한통운,2021,29.827571,12000,1.7598505031106941,0.10132390534654452,5.217679278323431,87.3025164381433,0.0,0.5534367510686228,40.16,19.64,B+,B+,A+,B
129013,CJ씨푸드,2021,25.616542,1115000,1.6525541895041473,0.0,8.78450605283681,152.04689965219106,0.0,0.496875566882771,46.26,3.61,B,C,B,B
635134,CJ제일제당,2021,30.921503,9795000,3.3229063028444408,0.6696234463797212,8.42829842324339,81.48145819166822,0.18520691985147728,0.5975990774085578,41.81,20.06,A,A,A,B+
149026,CS홀딩스,2021,26.591763,59000,5.955557984289666,0.006105436320781639,20.80027137533876,32.65984545272724,0.07887732536635192,0.1173851651185527,73.37,2.4,C,D,D,B
163345,DB,2021,27.123521,1203000,3.6054988813421,3.95498053785758,19.992511115458633,59.02502836471895,0.0,0.2727825437464531,43.83,2.45,B,D,B,B+
159102,DB손해보험,2021,0.0,583000,1.399,0.0,0.0,0.0,0.0,0.0,23.21,45.8,B+,B+,A,B+
115694,DB증권,2021,0.0,1661000,1.2,0.0,0.0,0.0,0.0,0.0,33.72,8.42,B,C,B,B
160843,DB하이텍,2021,28.069236,99000,20.445454805361464,0.0,29.784847342335258,236.89113913722005,5.287144937994546,0.2863909521764561,17.35,39.9,B,B,B+,B
108746,DKME,2021,25.834447,1559000,-7.848621520272306,0.0,-35.4073355798432,104.60822343595267,0.0,0.4090399702015129,48.16,0.65,D,D,C,D
109693,DL,2021,29.732801,21000,8.906539843371727,0.018738541746485017,50.6098768636634,61.977489954546115,0.0,0.463772240883249,23.11,48.6,A,A,A+,A
116949,DN오토모티브,2021,28.026411,734000,5.729517420950708,0.07010766433310052,15.895520990766022,100.24220669115178,0.04180530309406439,0.5191980181299103,51.25,6.34,C,C,D,B
118266,DRB동일,2021,27.447046,484000,-0.3361642391402988,0.031100205102019603,11.013823881858961,55.43950619290294,1.4717875014014319,0.4283887236937125,69.75,1.92,C,D,B+,B
110608,DSR,2021,26.435673,15566000,4.143644680673973,0.0,17.940005025351685,71.46741437055768,0.0,0.4116985500386527,70.57,1.3,D,D,C,D
151298,DSR제강,2021,26.211008,6973000,3.1527313350400066,0.015869731611239377,17.556776335016206,64.53506267025115,0.0,0.3635592583460729,57.18,3.34,C,D,C,B
117726,DYP,2021,26.616644,9278000,2.117424730894685,0.0019738260010164228,10.27570598689778,91.63968726918593,0.0,0.6876190402427351,55.79,2.04,C,D,B,D
165583,E1,2021,29.017147,1794000,3.4647929107924886,0.34931290617776545,31.183443615983254,73.92673504265983,0.0,0.6565904257989028,45.33,4.57,B+,B+,B+,B+
126487,F&F 홀딩스,2021,28.699966,770000,69.29106126289041,3.7672795346521832,3421.0952082840863,65.2567658737919,0.0,0.2053244970451441,58.82,13.47,B,B,B+,B
557508,GKL,2021,26.998604,11409000,-21.3195589208448,1.483746127244634,-53.873042952365935,180.90509847824484,0.00011752695917018692,0.2781029158617533,51.0,7.66,A,B,A,A
500254,GS,2021,31.07116,7893000,5.176708482724679,0.25704437506067784,31.05286549383478,66.11248288600595,0.0,0.5446502736485352,52.12,22.75,A,B+,A+,A
120030,GS건설,2021,30.351245,636000,2.824097417581953,0.29151530051446,-10.73162932841549,90.22837533269752,0.2689735753067026,0.6790824968170651,25.5,29.97,A,A,A,A
138190,GS글로벌,2021,27.997525,125000,1.5268791838744227,0.012779054868538212,36.732214373459335,89.81696927397087,0.0,0.762585381739828,50.8,3.47,B+,C,B+,B+
140177,GS리테일,2021,29.877668,707000,8.473750452182664,0.0007765857668857093,10.193453887255915,86.98218345196224,0.0,0.5331642705969131,65.78,20.1,A,B+,A,A
164636,HDC,2021,29.996721,1263000,2.1614562349968365,0.3633996502026469,20.945142234856455,60.75192138053951,0.0,0.548907612248123,38.05,17.2,C,D,B,C
350312,HDC랩스,2021,26.742812,3957000,2.2098065132501556,0.5578882773019276,5.438228198216999,112.36679504579452,0.2829784889430048,0.3538839394732593,57.84,3.83,D,D,D,D
357935,HDC현대EP,2021,27.091262,8947000,1.7645186916827724,0.14380201073407073,24.707049878812875,79.78188171320807,1.026515161109929,0.4721904808436846,48.26,8.55,C,C,B,C
1310269,HDC현대산업개발,2021,29.512983,29487000,2.6845990083018254,0.36371412975849604,-8.346065329965977,79.04472133663502,0.0,0.560597838409191,41.48,33.25,C,D,C,B
164830,HD한국조선해양,2021,30.937655,954000,-4.181293677880142,0.050098810664606995,3.9569080928009455,79.04737903658128,0.5213645489635351,0.5451686307896683,33.96,16.95,B+,B+,A,B+
1205709,HD현대,2021,31.209406,26725000,0.5193602051510976,0.22532608199579957,48.901559502391265,78.65299221899147,0.6089937299413654,0.6680920894333046,34.34,19.19,A,B+,A,A
1205842,HD현대건설기계,2021,28.899176,26727000,3.5572289482594535,0.39916700173732306,37.390762056003524,78.92854024963454,1.5065128969459198,0.5645239022096361,36.18,11.36,A,B+,A,A
406046,HD현대마린엔진,2021,26.787996,7197000,-1.8188464518578973,0.0,-33.92042195341341,95.46788315951056,0.0,0.6422889063928041,65.44,1.04,C,D,B,B
164609,HD현대미포,2021,28.986423,1062000,-4.128295404116319,0.0370599702058413,3.4097701596163787,115.25535775354632,0.0,0.4316356991808559,0.0,13.68,B+,B+,A,B+
344287,HD현대인프라코어,2021,29.195941,4267000,11.873722720211138,0.8449026814862071,15.18418651396272,100.58576148867573,3.030085902335055,0.7135631774601406,35.0,16.6,B+,B+,A,B+
1205851,HD현대일렉트릭,2021,28.42626,26726000,-1.520866448559866,0.12281340730532649,-0.2955256058875197,103.21069196731156,2.148127203070398,0.7082479483927508,40.04,4.88,B+,B+,A,B+
633835,HJ중공업,2021,28.500319,9723000,-5.862899939460918,0.0469958957699006,0.6319675200419858,109.95793369041888,0.07717405826553503,0.8188837498679375,0.0,20.7,B,C,B+,B+
161116,HL D&I,2021,28.050621,1479000,6.568267555197177,0.723515338571508,-4.873241432005407,86.05914731989074,0.0,0.7262133367300082,100.0,3.22,B+,B+,A,B+
169048,HLB글로벌,2021,25.822311,358000,-7.983533520761021,1.9033168036525518,27.33239196253615,590.4492572003678,6.19333908092869,0.3082196356626818,8.0,0.45,D,D,C,D
1042775,HL만도,2021,29.372253,20432000,3.1312129469307615,0.011609333308508739,10.495697849734654,116.35283344738585,3.284413661608915,0.6416330912498139,30.26,24.52,A,A,A,B+
299002,HL홀딩스,2021,28.461736,6098000,4.6265819920553195,0.24305427203456142,41.500645932800126,76.717220822616,0.022756095247070843,0.5579551716372081,28.48,10.97,B+,B+,A,B+
164645,HMM,2021,30.514486,1120000,29.856350098735184,0.013440482152286605,115.08759182133295,115.6458536392166,0.0,0.4205506793987503,12.61,9.34,A,A+,A,B+
140168,HS애드,2021,27.05991,3500000,3.063863121998088,0.03704663597761012,22.065226743680064,92.14651655833248,0.9234328436204774,0.7147015361872275,35.0,31.4,B,D,B,B+
174527,HS화성,2021,27.417786,246000,3.673238777705487,0.1836696674780677,0.7088922388620746,67.80794256998469,0.0,0.4839126901072907,41.39,13.1,B,C,B+,B
1316254,HS효성첨단소재,2021,28.698721,29805000,11.346144266011066,0.05950896735043457,50.24399465945694,166.9877422416992,0.8603810390817485,0.751918994211712,44.41,7.16,A,B+,A+,A
105101,INVENI,2021,27.98379,1536000,1.8663050339549008,0.0,15.002946677960919,77.59961704298802,0.0,0.6250477397251135,68.27,15.43,B,C,B,B
980122,JB금융지주,2021,0.0,17533000,0.957,0.0,0.0,0.0,0.0,0.0,13.14,40.88,A,A,A+,A
